Company ID ,Year ,Company name ,industry ,symbol ,No. of female on board ,female ratio,No. of independent directors ,board independence,check,equity + liabilities ,total assets ,total liability ,total equity ,Lev,FSIZE ,BSIZE ,ETR,,,,,,,,
21,2017,ROYAL PALMS BEACH HOTELS PLC,consumer services ,RPBH.N0000,1,8.33333333333333,7,58.3333333333333,0,"2,569,866,841","2,569,866,841",349391392,"2,220,475,449",0.157349810896288,21.6671199216707,12,0.341710664962517,,,,,,,,
21,2018,ROYAL PALMS BEACH HOTELS PLC,consumer services ,RPBH.N0000,1,10,6,60,0,"2,867,841,621","2,867,841,621",403840982,"2,464,000,639",0.163896459931072,21.7768255353556,10,0.221284069251672,,,,,,,,
22,2015,THE KINGSBURY PLC,consumer services ,SERV.N0000,1,9.09090909090909,4,36.3636363636364,0,"4,640,424,000","4,640,424,000",2458440000,"2,181,984,000",1.12669937084782,22.2580715783201,11,0.180218017610189,,,,,,,,
22,2016,THE KINGSBURY PLC,consumer services ,SERV.N0000,2,18.1818181818182,5,45.4545454545455,0,"4,710,701,000","4,710,701,000",2320148000,"2,390,553,000",0.970548655478461,22.2731025661721,11,0.105101925574567,,,,,,,,
22,2017,THE KINGSBURY PLC,consumer services ,SERV.N0000,2,18.1818181818182,5,45.4545454545455,0,"4,536,467,000","4,536,467,000",2002587000,"2,533,880,000",0.790324324750975,22.2354143522171,11,0.259539506941451,,,,,,,,
22,2018,THE KINGSBURY PLC,consumer services ,SERV.N0000,2,16.6666666666667,5,41.6666666666667,0,"4,312,491,000",4312491000,1738792000,"2,573,699,000",0.67560037129439,22.1847815323452,12,0.416759265689747,,,,,,,,
23,2015,"THE LIGHTHOUSE HOTEL PLC
",consumer services ,LHL.N0000,2,18.1818181818182,6,54.5454545454545,0,"3,195,847,356","3,195,847,356","272,731,963","2,923,115,393",0.0933018120506336,21.8851181027587,11,0.0879529205517997,,,,,,,,
23,2016,"THE LIGHTHOUSE HOTEL PLC
",consumer services ,LHL.N0000,2,16.6666666666667,6,50,0,"3,219,604,569","3,219,604,569","356,211,797","2,863,392,772",0.124402003275016,21.8925243843032,12,0.091685102320529,,,,,,,,
23,2017,"THE LIGHTHOUSE HOTEL PLC
",consumer services ,LHL.N0000,2,18.1818181818182,6,54.5454545454545,0,"3,332,550,991","3,332,550,991","458,448,409","2,874,102,582",0.159510106518529,21.9270039110254,11,0.107363144760753,,,,,,,,
23,2018,"THE LIGHTHOUSE HOTEL PLC
",consumer services ,LHL.N0000,2,18.1818181818182,6,54.5454545454545,0,"3,297,376,769","3,297,376,769","289,222,747","3,008,154,022",0.0961462561041697,21.9163930708188,11,0.109124169614646,,,,,,,,
24,2015,UNITED MOTORS LANKA PLC,Retaling ,UML.N0000,1,11.1111111111111,5,55.5555555555556,0,"10,653,318,000","10,653,318,000","1,749,637,000","8,903,681,000",0.1965071524912,23.0891372298762,9,0.289200241368091,,,,,,,,
24,2016,UNITED MOTORS LANKA PLC,Retaling ,UML.N0000,1,11.1111111111111,5,55.5555555555556,0,"12,224,495,000","12,224,495,000","2,956,780,000","9,267,715,000",0.31904088548256,23.2267075626607,9,0.171524757703777,,,,,,,,
24,2017,UNITED MOTORS LANKA PLC,Retaling ,UML.N0000,1,12.5,4,50,0,"13,044,456,000","13,044,456,000","1,348,876,000","11,695,580,000",0.115332116919383,23.2916290528641,8,0.12679143897778,,,,,,,,
24,2018,UNITED MOTORS LANKA PLC,Retaling ,UML.N0000,1,12.5,5,62.5,0,"13,392,566,000","13,392,566,000","1,203,453,000","12,189,113,000",0.0987317945120371,23.3179656138387,8,0.213146248696002,,,,,,,,
